location,lat,long,Continent
Afghanistan,34.1477063,66.5139438,Asia
Albania,40.7908423,20.0538007,Europe
Algeria,27.4041271,2.8291566,Africa
American Samoa,-14.297124,-170.71315,Oceania
Andorra,42.5544416,1.56860151,Europe
Angola,-12.183627,17.9944769,Africa
Anguilla,18.1954947,-63.075023,North America
Antarctica,-79.406308,0.3149312,Antarctica
Antigua & Barbuda,17.2234721,-61.955461,North America
Argentina,-33.531089,-64.168708,South America
Armenia,40.4728934,44.8051017,Asia/Europe
Aruba,12.5175662,-69.981864,North America
Australia,-23.007653,132.36477,Oceania
Austria,47.5223516,14.145678,Europe
Azerbaijan,40.3933292,47.2154305,Asia/Europe
Bahamas,24.5646989,-78.079627,North America
Bahrain,26.0647019,50.5575891,Asia
Barbados,13.1627341,-59.566755,North America
Belarus,53.8251679,28.440655,Europe
Belgium,50.7801755,4.78344337,Europe
Belize,17.1999506,-88.717491,North America
Benin,10.3713334,2.36325561,Africa
Bermuda,32.3040273,-64.756309,North America
Bhutan,27.4732955,90.4490271,Asia
Bolivia,-16.634753,-64.664806,South America
Bosnia & Herzegovina,44.3053476,17.5961467,Europe
Botswana,-22.093258,24.1901903,Africa
Bouvet Island,-54.420201,3.3593786,Antarctica
Brazil,-11.998254,-49.530622,South America
British Indian Ocean Territory,-5.3497093,71.8606423,Asia
British Virgin Islands,18.4024395,-64.566164,North America
Brunei,4.45104611,114.579761,Asia
Bulgaria,42.4879511,25.2344918,Europe
Burkina Faso,12.6330048,-1.4743239,Africa
Burundi,-3.3563391,29.8733479,Africa
Cambodia,12.5424151,104.443715,Asia
Cameroon,4.56228674,12.4784276,Africa
Canada,58.3399517,-112.49141,North America
Cape Verde,15.054405,-23.623026,Africa
Caribbean Netherlands,17.56187,-63.138004,North America
Cayman Islands,19.7031822,-79.917463,North America
Central African Republic,6.9812348,21.6671251,Africa
Chad,15.157184,18.6621829,Africa
Chile,-36.895044,-72.085167,South America
China,32.5261064,106.810082,Asia
Christmas Island,-10.491315,105.617137,Asia
Cocos (Keeling) Islands,-12.072832,96.8409375,Asia
Colombia,3.40051027,-73.171286,South America
Comoros,-11.752219,43.3324216,Africa
Congo - Brazzaville,-0.7264327,15.6419155,Africa
Congo - Kinshasa,-2.9814344,23.8222636,Africa
Cook Islands,-19.996972,-157.78587,Oceania
Costa Rica,10.0666653,-84.077668,North America
Côte d'Ivoire,7.56864881,-5.496438,Africa
Croatia,45.8050492,16.3854002,Europe
Cuba,21.3220349,-77.962193,North America
Curaçao,12.2135136,-69.040892,North America
Cyprus,35.0351892,33.2059283,Asia/Europe
Czechia,49.8930219,15.4031695,Europe
Denmark,56.3208914,9.34193816,Europe
Djibouti,11.9537741,42.4833381,Africa
Dominica,15.4511777,-61.337415,North America
Dominican Republic,19.1089257,-70.678149,North America
Ecuador,-1.2274154,-78.410824,South America
Egypt,26.4296319,29.2649768,Africa
El Salvador,13.7010792,-88.846765,North America
Equatorial Guinea,1.58574031,10.4652582,Africa
Eritrea,15.9664008,38.2164036,Africa
Estonia,58.7289112,25.9995173,Europe
Eswatini,-26.535898,31.4906903,Africa
Ethiopia,8.04075759,39.1253127,Africa
Falkland Islands,-51.949294,-59.538366,South America
Faroe Islands,62.0448724,-7.0322972,Europe
Fiji,-17.839422,177.9508,Oceania
Finland,63.2351984,27.208022,Europe
France,46.7215947,2.44772051,Europe
French Guiana,4.0039882,-52.999998,South America
French Polynesia,-17.024375,-144.64349,Oceania
French Southern Territories,-49.237442,69.622759,Antarctica
Gabon,-0.6168447,11.5049736,Africa
Gambia,13.3830859,-16.06516,Africa
Georgia,42.3816565,42.6227343,Asia/Europe
Germany,51.1811184,9.68989156,Europe
Ghana,7.84143444,-0.9816719,Africa
Gibraltar,36.1285933,-5.3474761,Europe
Greece,39.6437132,21.7597892,Europe
Greenland,74.2835408,-39.340682,North America
Grenada,12.1183005,-61.67943,North America
Guadeloupe,16.2528827,-61.568686,North America
Guam,13.4501175,144.757709,Oceania
Guatemala,14.9778571,-90.491548,North America
Guernsey,49.4566233,-2.5822348,Europe
Guinea,12.0851052,-14.638714,Africa
Guinea-Bissau,12.0851052,-14.638714,Africa
Guyana,5.65334212,-58.807902,South America
Haiti,19.2518104,-72.285328,North America
Heard & McDonald Islands,-53.039855,72.5960472,Antarctica
Honduras,14.7643457,-86.91857,North America
Hong Kong SAR China,22.350627,114.184916,Asia
Hungary,47.0966304,19.4702776,Europe
Iceland,64.7111036,-18.54018,Europe
India,22.5277433,78.7405537,Asia
Indonesia,-0.2422693,101.528622,Asia
Iran,31.9455867,55.2481493,Asia
Iraq,33.1299084,43.2975955,Asia
Ireland,53.1775096,-7.9178064,Europe
Isle of Man,54.1936805,-4.5591148,Europe
Israel,30.9247406,34.8971259,Asia
Italy,44.7633126,11.0770496,Europe
Jamaica,18.1572057,-77.386146,North America
Japan,36.1761232,138.531112,Asia
Jersey,49.2214561,-2.1358386,Europe
Jordan,30.8085553,36.3900479,Asia
Kazakhstan,48.2748322,68.9895994,Asia/Europe
Kenya,0.50070311,37.8579155,Africa
Kiribati,1.84656986,-157.40183,Oceania
Kuwait,29.4216302,47.3327019,Asia
Kyrgyzstan,41.6778326,74.4649377,Asia
Laos,19.6077044,102.55511,Asia
Latvia,57.065932,25.4791337,Europe
Lebanon,34.1389358,35.9716955,Asia
Lesotho,-29.487254,28.2737313,Africa
Liberia,6.50793644,-9.4523006,Africa
Libya,26.6410545,18.0374608,Africa
Liechtenstein,47.1567206,9.55816295,Europe
Lithuania,55.1142206,24.1380372,Europe
Luxembourg,49.7677939,6.08621193,Europe
Macao SAR China,22.1757605,113.551414,Asia
Madagascar,-18.306924,46.6974586,Africa
Malawi,-13.415814,33.6639164,Africa
Malaysia,2.54030324,113.837706,Asia
Maldives,-0.6102679,73.0907077,Asia
Mali,18.7090575,-2.0311116,Africa
Malta,35.8838551,14.4258064,Europe
Marshall Islands,5.62534361,168.108103,Oceania
Martinique,14.6113732,-60.962078,North America
Mauritania,19.5911432,-9.7316867,Africa
Mauritius,-20.308558,57.5791869,Africa
Mayotte,-12.825543,45.1484908,Africa
Mexico,24.5878299,-102.29051,North America
Micronesia,6.88673909,158.223007,Oceania
Moldova,47.3530305,28.5860158,Europe
Monaco,43.759611,7.43729769,Europe
Mongolia,45.9989034,104.163988,Asia
Montenegro,42.8184538,19.1825296,Europe
Montserrat,16.7417041,-62.191684,North America
Morocco,32.1457987,-5.7741379,Africa
Mozambique,-13.875364,37.8417167,Africa
Myanmar,21.6175516,95.8300874,Asia
Namibia,-20.608108,17.120655,Africa
Nauru,-0.328133,166.931826,Oceania
Nepal,28.3235196,83.6090565,Asia
Netherlands,52.4574308,6.13637617,Europe
New Caledonia,-21.301991,165.488077,Oceania
New Zealand,-45.224441,169.104418,Oceania
Nicaragua,12.6746696,-85.073144,North America
Niger,17.4470401,9.52313821,Africa
Nigeria,9.53856255,7.61087589,Africa
Niue,-19.053641,-169.86134,Oceania
Norfolk Island,-29.032804,167.948314,Oceania
North Korea,39.8935122,126.427743,Asia
North Macedonia,41.5686564,21.5462335,Europe
Northern Mariana Islands,15.1753648,145.737934,Oceania
Norway,60.9005255,8.75688124,Europe
Oman,22.1139221,57.3435482,Asia
Pakistan,30.4765391,70.9321833,Asia
Palau,7.51131576,134.58352,Oceania
Palestinian Territories,31.92157,35.20329,Asia
Panama,8.28597862,-81.07357,North America
Papua New Guinea,-5.7174601,143.514789,Oceania
Paraguay,-21.688484,-60.143896,South America
Peru,-12.983348,-72.877953,South America
Philippines,16.9105109,121.390603,Asia
Pitcairn Islands,-25.065772,-130.10178,Oceania
Poland,51.8975866,20.3967258,Europe
Portugal,40.3431452,-7.9609734,Europe
Puerto Rico,18.2247706,-66.48583,North America
Qatar,25.2885646,51.1510493,Asia
R√©union,45.9542189,-66.623121,Africa
Romania,45.7417285,24.9856446,Europe
Russia,63.6246873,97.931167,Europe/Asia
Rwanda,-1.9153409,29.9240706,Africa
Samoa,-13.623779,-172.42849,Oceania
San Marino,43.9485185,12.4602503,Europe
São Tomé and Príncipe,0.24409444,6.59732174,Africa
Saudi Arabia,23.2810102,45.2672827,Asia
Senegal,15.2164688,-14.922327,Africa
Serbia,44.240356,20.5930313,Europe
Seychelles,-9.4297498,46.4606708,Africa
Sierra Leone,8.62528724,-11.80998,Africa
Singapore,1.34803092,103.82898,Asia
Sint Maarten,18.0423736,-63.054995,North America
Slovakia,48.7448398,19.1996277,Europe
Slovenia,46.0549951,14.9406679,Europe
Solomon Islands,-8.1285508,159.366785,Oceania
Somalia,2.81356166,43.6230311,Africa
South Africa,-30.400537,23.2433557,Africa
South Georgia & South Sandwich Islands,-54.843286,-35.80907,Antarctica
South Korea,36.3966982,128.026309,Asia
South Sudan,7.21944703,30.4419478,Africa
Spain,40.0695234,-3.4552339,Europe
Sri Lanka,7.55521979,80.7074265,Asia
St. Helena,-15.965455,-5.7025756,Africa
St. Kitts & Nevis,17.250512,-62.672597,North America
St. Lucia,13.8917996,-60.97726,North America
St. Martin,18.0814066,-63.046713,North America
St. Pierre & Miquelon,46.7775497,-56.176867,North America
St. Vincent & Grenadines,12.90447,-61.276557,North America
Sudan,16.3530017,29.2793068,Africa
Suriname,4.0970953,-55.943166,South America
Svalbard & Jan Mayen,78.7198519,20.3493328,Europe
Sweden,64.1293973,16.2070156,Europe
Switzerland,46.7287895,7.47130121,Europe
Syria,35.0355955,38.457587,Asia
Taiwan,23.7107083,120.903308,Asia
Tajikistan,38.1913971,72.5943316,Asia
Tanzania,-5.8681826,34.7991861,Africa
Thailand,15.474592,101.022946,Asia
Timor-Leste,-8.8017233,125.866411,Asia
Togo,8.84221135,1.07579818,Africa
Tokelau,-9.1676396,-171.81969,Oceania
Tonga,-21.179164,-175.20949,Oceania
Trinidad & Tobago,10.7466905,-61.084008,North America
Tunisia,33.7003428,9.03056463,Africa
Turkey,39.0394527,33.1014271,Asia/Europe
Turkmenistan,39.8882517,58.6952533,Asia
Turks & Caicos Islands,21.721746,-71.552781,North America
Tuvalu,-8.5207465,179.19908,Oceania
U.S. Outlying Islands,22.26382,113.96038,Oceania
U.S. Virgin Islands,17.789187,-64.708057,North America
Uganda,0.90677543,32.4449784,Africa
Ukraine,49.3218421,32.2936472,Europe
United Arab Emirates,23.5569065,54.5362184,Asia
United Kingdom,52.7021505,-1.5636252,Europe
United States,39.3803843,-97.465347,North America
Uruguay,-32.956747,-55.965051,South America
Uzbekistan,41.7304573,63.9969242,Asia
Vanuatu,-15.379015,166.928572,Oceania
Vatican City,41.903411,12.4528527,Europe
Venezuela,7.18715343,-64.569831,South America
Vietnam,21.7045632,105.448701,Asia
Wallis & Futuna,-13.289402,-176.20422,Oceania
Western Sahara,24.5893908,-13.421549,Africa
Yemen,15.3331831,45.8831781,Asia
Zambia,-14.755627,26.7331706,Africa
Zimbabwe,-18.921414,29.9435842,Africa
Dhaka,23.7702548,90.3584402,
Bagerhat,22.5913803,89.7644441,
Chittagong,22.2978515,91.9987133,
Barisal,22.9229227,90.1726866,
Bhola,22.4199164,90.7647866,
Brahmanbaria,23.9508104,91.1038879,
Comilla,23.4809388,91.0375452,
Dinajpur,25.6986968,88.6647208,
Faridpur,23.4998433,89.8762545,
Gaibandha,25.2956302,89.5245637,
Gazipur,24.1029221,90.4487753,
Gopalganj,23.1044041,89.8369444,
Habiganj,24.4080193,91.4299244,
Jhenaidah,23.5059801,89.1197221,
Khulna,22.7733307,89.4650078,
Kishoreganj,24.3847481,90.9508725,
Kurigram,25.7542121,89.6712862,
Manikganj,23.8401924,89.9477425,
Moulvibazar,24.4880817,91.7630179,
Narayanganj,23.74218,90.5895759,
Narsingdi,23.9921391,90.7889178,
Natore,24.3588678,89.0929361,
Netrokona,24.9638449,90.7719443,
Nilphamari,26.0209951,88.9335199,
Noakhali,22.8009971,91.1267919,
Pabna,24.0819745,89.354902,
Rajshahi,24.4627663,88.6455934,
Rangamati,22.7561535,92.2514584,
Rangpur,25.666741,89.243656,
Satkhira,22.5917995,89.098007,
Shariatpur,23.25934,90.4351229,
Sirajganj,24.3755256,89.5764725,
Sunamganj,24.9304952,91.3818666,
Sylhet,24.9563529,91.988576,
Tangail,24.3571938,90.0036093,
Dhaka,23.7702548,90.3584402,
Bagerhat,22.5913803,89.7644441,
Bandarban,21.7891843,92.4097111,
Barguna,22.1262274,90.2728084,
Brahmanbaria,23.9508104,91.1038879,
Chandpur,23.2674045,90.7599768,
Chattogram,22.333778,91.8344348,
Comilla,23.4809388,91.0375452,
Dinajpur,25.6986968,88.6647208,
Gaibandha,25.2956302,89.5245637,
Gazipur,24.1029221,90.4487753,
Noakhali,22.2877297,91.1265769,
Jamalpur,24.9281506,89.7953394,
Jhalokati,22.5601841,90.1347127,
Khagrachhari,23.2148892,91.9722714,
Khulna,22.7733307,89.4650078,
Kishoreganj,24.3847481,90.9508725,
Kurigram,25.7542121,89.6712862,
Kushtia,23.9075417,88.9944523,
Manikganj,23.8401924,89.9477425,
Meherpur,23.7773468,88.6914669,
Mymensingh,24.6541656,90.3975974,
Narayanganj,23.74218,90.5895759,
Pabna,24.0819745,89.354902,
Rajshahi,24.4627663,88.6455934,
Rangamati,22.7561535,92.2514584,
Satkhira,22.5917995,89.098007,
Savar,23.8477,90.2587,
Shariatpur,23.25934,90.4351229,
Sherpur,25.0751448,90.078326,
Sirajganj,24.3755256,89.5764725,
Sylhet,24.9563529,91.988576,
Tangail,24.3571938,90.0036093,
Dhaka,23.7702548,90.3584402,
Sylhet,24.6541656,90.3975974,
Chattogram,24.9563529,91.988576,
Khulna,22.2978515,91.9987133,
Rajshahi,22.7733307,89.4650078,
Mymensingh,24.4627663,88.6455934,
Barishal,22.9229227,90.1726866,
Faridpur,25.666741,89.243656,
Munshiganj,24.3571938,90.0036093,
Narayanganj,24.1029221,90.4487753,
Gazipur,23.2059989,90.1472957,
Pabna,23.547309,90.3203023,
Moulvibazar,22.9687507,91.4137685,
Noakhali,22.5913803,89.7644441,
Chandpur,22.4199164,90.7647866,
Brahmanbaria,23.2674045,90.7599768,
Cumilla,24.0819745,89.354902,
Feni,23.9921391,90.7889178,
Sirajganj,23.9075417,88.9944523,
Kurigram,22.8009971,91.1267919,
Thakurgaon,25.6986968,88.6647208,
Jhenaidah,26.0408467,89.17752,
Magura,24.3588678,89.0929361,
Meherpur,24.9638449,90.7719443,
Kushtia,24.9281506,89.7953394,
Gopalganj,26.0047811,88.3421442,
Bagerhat,25.7542121,89.6712862,
Natore,24.3755256,89.5764725,
Netrokona,23.1044041,89.8369444,
Jamalpur,23.7773468,88.6914669,
Bandarban,25.116577,89.0947435,
Bogura,23.5059801,89.1197221,
Dinajpur,24.5998567,88.2850447,
Lalmonirhat,23.4149807,89.4028783,
Chapai Nawabganj,26.2774966,88.5759585,
Dhaka,23.7702548,90.3584402,
Khulna,22.7733307,89.4650078,
Chattogram,22.333778,91.8344348,
Barishal,22.4934035,90.3548015,
Sylhet,24.9563529,91.988576,
Mymensingh,24.6541656,90.3975974,
Rangpur,25.666741,89.243656,
Rajshahi,24.4627663,88.6455934,
Jashore,23.1665256,89.2094419,
Comilla,23.4809388,91.0375452,
Noakhali,22.8009971,91.1267919,
Sunamganj,24.9304952,91.3818666,
Gazipur,24.1029221,90.4487753,
Narayanganj,23.74218,90.5895759,
Bagerhat,22.5913803,89.7644441,
Faridpur,23.4998433,89.8762545,
Madaripur,23.2059989,90.1472957,
Patuakhali,22.3266858,90.5193495,
Dinajpur,25.6986968,88.6647208,
Kurigram,25.7542121,89.6712862,
Sirajganj,24.3755256,89.5764725,
Pabna,24.0819745,89.354902,
Kushtia,23.9075417,88.9944523,
Tangail,24.3571938,90.0036093,
Feni,22.9687507,91.4137685,
Nilphamari,26.0209951,88.9335199,
Narail,23.1416161,89.5577717,
Brahmanbaria,23.9508104,91.1038879,
Jhenaidah,23.5059801,89.1197221,
Habiganj,24.4080193,91.4299244,
Netrokona,24.9638449,90.7719443,
Bandarban,21.7891843,92.4097111,
Gaibandha,25.2956302,89.5245637,
Magura,23.3012737,89.3760285,
Rajbari,23.7072394,89.5664731,
Bagerhat,22.5913803,89.7644441,
Bandarban,21.7891843,92.4097111,
Barisal,22.9229227,90.1726866,
Bhola,22.4199164,90.7647866,
Chandpur,23.2674045,90.7599768,
Chattogram,22.333778,91.8344348,
Dhaka,23.7702548,90.3584402,
Dinajpur,25.6986968,88.6647208,
Feni,22.9687507,91.4137685,
Gazipur,24.1029221,90.4487753,
Khulna,22.7733307,89.4650078,
Magura,23.4149807,89.4028783,
Munshiganj,23.547309,90.3203023,
Mymensingh,24.6541656,90.3975974,
Narail,23.1416161,89.5577717,
Narayanganj,23.74218,90.5895759,
Noakhali,22.8009971,91.1267919,
Pabna,24.0819745,89.354902,
Lalmonirhat,26.3457861,89.0208507,
Rajshahi,24.4627663,88.6455934,
Rangpur,25.666741,89.243656,
Satkhira,22.5917995,89.098007,
Sirajganj,24.3755256,89.5764725,
Sunamganj,24.9304952,91.3818666,
Sylhet,24.9563529,91.988576,
Tangail,24.3571938,90.0036093,
Dhaka,23.7702548,90.3584402,
Bagerhat,22.5913803,89.7644441,
Bandarban,21.7891843,92.4097111,
Barguna,22.1262274,90.2728084,
Barisal,22.9229227,90.1726866,
Bhola,22.4199164,90.7647866,
Brahmanbaria,23.9508104,91.1038879,
Chittagong,22.2978515,91.9987133,
Dinajpur,25.6986968,88.6647208,
Feni,22.9687507,91.4137685,
Gazipur,24.1029221,90.4487753,
Noakhali,22.8009971,91.1267919,
Jamalpur,24.9281506,89.7953394,
Khulna,22.7733307,89.4650078,
Kishoreganj,24.3847481,90.9508725,
Kushtia,23.9075417,88.9944523,
Netrokona,24.9638449,90.7719443,
Madaripur,23.2059989,90.1472957,
Magura,23.4149807,89.4028783,
Manikganj,23.8401924,89.9477425,
Narayanganj,23.74218,90.5895759,
Pabna,24.0819745,89.354902,
Panchagarh,26.2774966,88.5759585,
Rajshahi,24.4627663,88.6455934,
Rangamati,22.7561535,92.2514584,
Satkhira,22.5917995,89.098007,
Sunamganj,24.9304952,91.3818666,
Sylhet,24.9563529,91.988576,
Tangail,24.3571938,90.0036093,